# wavelength[angstrom]  transmittance
 9144.5  0.4386
 9145.0  0.4456
 9145.5  0.4529
 9146.0  0.4603
 9146.5  0.4677
 9147.0  0.4751
 9147.5  0.4825
 9148.0  0.4900
 9148.5  0.4975
 9149.0  0.5050
 9149.5  0.5125
 9150.0  0.5201
 9150.5  0.5268
 9151.0  0.5336
 9151.5  0.5403
 9152.0  0.5470
 9152.5  0.5537
 9153.0  0.5616
 9153.5  0.5695
 9154.0  0.5775
 9154.5  0.5854
 9155.0  0.5934
 9155.5  0.5997
 9156.0  0.6059
 9156.5  0.6122
 9157.0  0.6185
 9157.5  0.6248
 9158.0  0.6321
 9158.5  0.6395
 9159.0  0.6468
 9159.5  0.6542
 9160.0  0.6615
 9160.5  0.6683
 9161.0  0.6750
 9161.5  0.6818
 9162.0  0.6886
 9162.5  0.6955
 9163.0  0.7013
 9163.5  0.7072
 9164.0  0.7131
 9164.5  0.7189
 9165.0  0.7248
 9165.5  0.7310
 9166.0  0.7372
 9166.5  0.7435
 9167.0  0.7498
 9167.5  0.7561
 9168.0  0.7612
 9168.5  0.7664
 9169.0  0.7715
 9169.5  0.7766
 9170.0  0.7817
 9170.5  0.7872
 9171.0  0.7927
 9171.5  0.7982
 9172.0  0.8037
 9172.5  0.8093
 9173.0  0.8143
 9173.5  0.8194
 9174.0  0.8244
 9174.5  0.8294
 9175.0  0.8345
 9175.5  0.8392
 9176.0  0.8440
 9176.5  0.8487
 9177.0  0.8535
 9177.5  0.8583
 9178.0  0.8619
 9178.5  0.8655
 9179.0  0.8691
 9179.5  0.8728
 9180.0  0.8764
 9180.5  0.8786
 9181.0  0.8808
 9181.5  0.8830
 9182.0  0.8851
 9182.5  0.8873
 9183.0  0.8896
 9183.5  0.8918
 9184.0  0.8941
 9184.5  0.8963
 9185.0  0.8986
 9185.5  0.9001
 9186.0  0.9016
 9186.5  0.9032
 9187.0  0.9047
 9187.5  0.9062
 9188.0  0.9080
 9188.5  0.9098
 9189.0  0.9116
 9189.5  0.9134
 9190.0  0.9152
 9190.5  0.9163
 9191.0  0.9174
 9191.5  0.9185
 9192.0  0.9196
 9192.5  0.9207
 9193.0  0.9226
 9193.5  0.9245
 9194.0  0.9264
 9194.5  0.9283
 9195.0  0.9303
 9195.5  0.9305
 9196.0  0.9306
 9196.5  0.9309
 9197.0  0.9311
 9197.5  0.9312
 9198.0  0.9312
 9198.5  0.9314
 9199.0  0.9316
 9199.5  0.9319
 9200.0  0.9321
 9200.5  0.9333
 9201.0  0.9344
 9201.5  0.9356
 9202.0  0.9368
 9202.5  0.9379
 9203.0  0.9364
 9203.5  0.9348
 9204.0  0.9332
 9204.5  0.9316
 9205.0  0.9301
 9205.5  0.9307
 9206.0  0.9314
 9206.5  0.9320
 9207.0  0.9327
 9207.5  0.9333
 9208.0  0.9337
 9208.5  0.9341
 9209.0  0.9345
 9209.5  0.9349
 9210.0  0.9353
 9210.5  0.9350
 9211.0  0.9348
 9211.5  0.9345
 9212.0  0.9343
 9212.5  0.9340
 9213.0  0.9339
 9213.5  0.9339
 9214.0  0.9338
 9214.5  0.9337
 9215.0  0.9337
 9215.5  0.9334
 9216.0  0.9332
 9216.5  0.9329
 9217.0  0.9327
 9217.5  0.9325
 9218.0  0.9325
 9218.5  0.9325
 9219.0  0.9325
 9219.5  0.9325
 9220.0  0.9325
 9220.5  0.9317
 9221.0  0.9309
 9221.5  0.9301
 9222.0  0.9293
 9222.5  0.9285
 9223.0  0.9287
 9223.5  0.9289
 9224.0  0.9291
 9224.5  0.9292
 9225.0  0.9294
 9225.5  0.9290
 9226.0  0.9285
 9226.5  0.9281
 9227.0  0.9276
 9227.5  0.9272
 9228.0  0.9265
 9228.5  0.9257
 9229.0  0.9250
 9229.5  0.9243
 9230.0  0.9236
 9230.5  0.9228
 9231.0  0.9221
 9231.5  0.9214
 9232.0  0.9207
 9232.5  0.9200
 9233.0  0.9192
 9233.5  0.9185
 9234.0  0.9177
 9234.5  0.9169
 9235.0  0.9162
 9235.5  0.9155
 9236.0  0.9148
 9236.5  0.9142
 9237.0  0.9135
 9237.5  0.9128
 9238.0  0.9105
 9238.5  0.9082
 9239.0  0.9058
 9239.5  0.9035
 9240.0  0.9012
 9240.5  0.8993
 9241.0  0.8974
 9241.5  0.8955
 9242.0  0.8936
 9242.5  0.8916
 9243.0  0.8887
 9243.5  0.8857
 9244.0  0.8827
 9244.5  0.8798
 9245.0  0.8768
 9245.5  0.8741
 9246.0  0.8713
 9246.5  0.8686
 9247.0  0.8659
 9247.5  0.8631
 9248.0  0.8606
 9248.5  0.8579
 9249.0  0.8553
 9249.5  0.8527
 9250.0  0.8501
 9250.5  0.8459
 9251.0  0.8418
 9251.5  0.8376
 9252.0  0.8335
 9252.5  0.8293
 9253.0  0.8249
 9253.5  0.8205
 9254.0  0.8160
 9254.5  0.8116
 9255.0  0.8071
 9255.5  0.8021
 9256.0  0.7971
 9256.5  0.7921
 9257.0  0.7872
 9257.5  0.7822
 9258.0  0.7766
 9258.5  0.7711
 9259.0  0.7655
 9259.5  0.7600
 9260.0  0.7544
 9260.5  0.7489
 9261.0  0.7434
 9261.5  0.7379
 9262.0  0.7325
 9262.5  0.7270
 9263.0  0.7207
 9263.5  0.7145
 9264.0  0.7082
 9264.5  0.7020
 9265.0  0.6958
 9265.5  0.6901
 9266.0  0.6845
 9266.5  0.6788
 9267.0  0.6731
 9267.5  0.6674
 9268.0  0.6611
 9268.5  0.6548
 9269.0  0.6485
 9269.5  0.6422
 9270.0  0.6359
 9270.5  0.6293
 9271.0  0.6227
 9271.5  0.6161
 9272.0  0.6096
 9272.5  0.6030
 9273.0  0.5962
 9273.5  0.5895
 9274.0  0.5828
 9274.5  0.5761
 9275.0  0.5694
 9275.5  0.5622
 9276.0  0.5551
 9276.5  0.5479
 9277.0  0.5408
 9277.5  0.5337
 9278.0  0.5265
 9278.5  0.5194
 9279.0  0.5123
 9279.5  0.5051
 9280.0  0.4980
 9280.5  0.4905
 9281.0  0.4829
 9281.5  0.4754
 9282.0  0.4679
 9282.5  0.4604
 9283.0  0.4531
 9283.5  0.4457
 9284.0  0.4384
 9284.5  0.4310
 9285.0  0.4237
 9285.5  0.4170
 9286.0  0.4103
 9286.5  0.4037
 9287.0  0.3970
 9287.5  0.3904
 9288.0  0.3833
 9288.5  0.3762
 9289.0  0.3692
 9289.5  0.3621
 9290.0  0.3549
 9290.5  0.3481
 9291.0  0.3413
 9291.5  0.3345
 9292.0  0.3278
 9292.5  0.3210
 9293.0  0.3144
 9293.5  0.3078
 9294.0  0.3012
 9294.5  0.2946
 9295.0  0.2880
 9295.5  0.2816
 9296.0  0.2752
 9296.5  0.2687
 9297.0  0.2623
 9297.5  0.2559
 9298.0  0.2499
 9298.5  0.2439
 9299.0  0.2379
 9299.5  0.2319
 9300.0  0.2259
 9300.5  0.2203
 9301.0  0.2147
 9301.5  0.2091
 9302.0  0.2035
 9302.5  0.1979
 9303.0  0.1923
 9303.5  0.1868
 9304.0  0.1813
 9304.5  0.1758
 9305.0  0.1703
 9305.5  0.1657
 9306.0  0.1610
 9306.5  0.1564
 9307.0  0.1517
 9307.5  0.1471
 9308.0  0.1428
 9308.5  0.1384
 9309.0  0.1341
 9309.5  0.1298
 9310.0  0.1254
 9310.5  0.1215
 9311.0  0.1176
 9311.5  0.1137
 9312.0  0.1098
 9312.5  0.1060
 9313.0  0.1027
 9313.5  0.0994
 9314.0  0.0961
 9314.5  0.0928
 9315.0  0.0895
 9315.5  0.0867
 9316.0  0.0839
 9316.5  0.0811
 9317.0  0.0783
 9317.5  0.0755
 9318.0  0.0729
 9318.5  0.0703
 9319.0  0.0678
 9319.5  0.0651
 9320.0  0.0626
 9320.5  0.0605
 9321.0  0.0584
 9321.5  0.0563
 9322.0  0.0543
 9322.5  0.0522
 9323.0  0.0503
 9323.5  0.0484
 9324.0  0.0464
 9324.5  0.0445
 9325.0  0.0426
 9325.5  0.0412
 9326.0  0.0398
 9326.5  0.0385
 9327.0  0.0371
 9327.5  0.0358
 9328.0  0.0348
 9328.5  0.0337
 9329.0  0.0327
 9329.5  0.0317
 9330.0  0.0307
 9330.5  0.0295
 9331.0  0.0284
 9331.5  0.0273
 9332.0  0.0262
 9332.5  0.0251
