# wavelength[angstrom]  transmittance
 7767.5  0.9170
 7771.9  0.9172
 7776.3  0.9170
 7780.7  0.9164
 7785.2  0.9173
 7789.6  0.9172
 7794.0  0.9180
 7798.4  0.9178
 7802.9  0.9183
 7807.3  0.9187
 7811.7  0.9187
 7816.1  0.9191
 7820.6  0.9197
 7825.0  0.9198
 7829.4  0.9195
 7833.9  0.9210
 7838.3  0.9214
 7842.7  0.9225
 7847.1  0.9222
 7851.6  0.9220
 7856.0  0.9226
 7860.4  0.9230
 7864.9  0.9233
 7869.3  0.9227
 7873.7  0.9227
 7878.2  0.9218
 7882.6  0.9227
 7887.0  0.9218
 7891.5  0.9223
 7895.9  0.9216
 7900.3  0.9218
 7904.8  0.9220
 7909.2  0.9211
 7913.6  0.9210
 7918.1  0.9210
 7922.5  0.9204
 7926.9  0.9205
 7931.4  0.9204
 7935.8  0.9212
 7940.2  0.9203
 7944.7  0.9205
 7949.1  0.9203
 7953.5  0.9197
 7958.0  0.9206
 7962.4  0.9201
 7966.8  0.9199
 7971.3  0.9198
 7975.7  0.9195
 7980.2  0.9200
 7984.6  0.9197
 7989.0  0.9197
 7993.5  0.9205
 7997.9  0.9201
 8002.4  0.9196
 8006.8  0.9203
 8011.2  0.9203
 8015.7  0.9190
 8020.1  0.9199
 8024.6  0.9197
 8029.0  0.9191
 8033.4  0.9194
 8037.9  0.9187
 8042.3  0.9175
 8046.8  0.9177
 8051.2  0.9173
 8055.7  0.9157
 8060.1  0.9152
 8064.5  0.9150
 8069.0  0.9145
 8073.4  0.9136
 8077.9  0.9134
 8082.3  0.9127
 8086.8  0.9121
 8091.2  0.9121
 8095.7  0.9123
 8100.1  0.9112
 8104.6  0.9118
 8109.0  0.9120
 8113.4  0.9106
 8117.9  0.9117
 8122.3  0.9115
 8126.8  0.9111
 8131.2  0.9113
 8135.7  0.9114
 8140.1  0.9120
 8144.6  0.9127
 8149.0  0.9117
 8153.5  0.9119
 8157.9  0.9119
 8162.4  0.9112
 8166.8  0.9116
 8171.3  0.9108
 8175.7  0.9114
 8180.2  0.9116
 8184.6  0.9112
 8189.1  0.9112
 8193.5  0.9111
 8198.0  0.9108
 8202.5  0.9109
 8206.9  0.9111
 8211.4  0.9100
 8215.8  0.9103
 8220.3  0.9095
 8224.7  0.9090
 8229.2  0.9074
 8233.6  0.9073
 8238.1  0.9060
 8242.5  0.9060
 8247.0  0.9042
 8251.4  0.9029
 8255.9  0.9020
 8260.4  0.9023
 8264.8  0.9013
 8269.3  0.9008
 8273.7  0.9001
 8278.2  0.8993
 8282.6  0.9006
 8287.1  0.8996
 8291.6  0.9002
 8296.0  0.9002
 8300.5  0.8999
 8304.9  0.9018
 8309.4  0.9004
 8313.9  0.9012
 8318.3  0.9012
 8322.8  0.9004
 8327.2  0.9008
 8331.7  0.9003
 8336.2  0.9000
 8340.6  0.8985
 8345.1  0.8989
 8349.5  0.8983
 8354.0  0.8978
 8358.5  0.8962
 8362.9  0.8951
 8367.4  0.8944
 8371.9  0.8946
 8376.3  0.8921
 8380.8  0.8903
 8385.3  0.8891
 8389.7  0.8884
 8394.2  0.8868
 8398.6  0.8844
 8403.1  0.8829
 8407.6  0.8801
 8412.0  0.8776
 8416.5  0.8755
 8421.0  0.8733
 8425.4  0.8700
 8429.9  0.8679
 8434.4  0.8641
 8438.8  0.8612
 8443.3  0.8578
 8447.8  0.8540
 8452.2  0.8503
 8456.7  0.8462
 8461.2  0.8412
 8465.7  0.8349
 8470.1  0.8278
 8474.6  0.8204
 8479.1  0.8107
 8483.5  0.7985
 8488.0  0.7841
 8492.5  0.7676
 8496.9  0.7488
 8501.4  0.7271
 8505.9  0.7033
 8510.4  0.6769
 8514.8  0.6467
 8519.3  0.6142
 8523.8  0.5814
 8528.2  0.5457
 8532.7  0.5083
 8537.2  0.4703
 8541.7  0.4308
 8546.1  0.3911
 8550.6  0.3522
 8555.1  0.3126
 8559.6  0.2756
 8564.0  0.2402
 8568.5  0.2078
 8573.0  0.1785
 8577.5  0.1533
 8581.9  0.1320
 8586.4  0.1136
 8590.9  0.0991
 8595.4  0.0864
 8599.8  0.0759
 8604.3  0.0673
 8608.8  0.0609
 8613.3  0.0551
 8617.8  0.0512
 8622.2  0.0464
 8626.7  0.0444
 8631.2  0.0412
 8635.7  0.0395
 8640.1  0.0375
 8644.6  0.0360
 8649.1  0.0338
 8653.6  0.0328
 8658.1  0.0314
 8662.5  0.0297
 8667.0  0.0290
 8671.5  0.0275
 8676.0  0.0273
 8680.5  0.0260
 8684.9  0.0258
 8689.4  0.0252
 8693.9  0.0237
 8698.4  0.0237
 8702.9  0.0229
 8707.4  0.0229
 8711.8  0.0222
 8716.3  0.0222
 8720.8  0.0220
 8725.3  0.0219
 8729.8  0.0214
 8734.3  0.0202
 8738.7  0.0206
 8743.2  0.0208
 8747.7  0.0198
 8752.2  0.0196
 8756.7  0.0197
 8761.2  0.0190
 8765.7  0.0192
 8770.1  0.0189
 8774.6  0.0185
 8779.1  0.0183
 8783.6  0.0173
 8788.1  0.0175
 8792.6  0.0176
 8797.1  0.0181
 8801.6  0.0179
 8806.0  0.0179
 8810.5  0.0170
 8815.0  0.0171
 8819.5  0.0164
 8824.0  0.0170
 8828.5  0.0166
 8833.0  0.0157
 8837.5  0.0169
 8842.0  0.0159
 8846.4  0.0162
 8850.9  0.0157
 8855.4  0.0155
 8859.9  0.0158
 8864.4  0.0158
 8868.9  0.0157
 8873.4  0.0158
 8877.9  0.0148
 8882.4  0.0163
 8886.9  0.0155
 8891.4  0.0155
 8895.8  0.0159
 8900.3  0.0151
 8904.8  0.0149
 8909.3  0.0149
 8913.8  0.0152
 8918.3  0.0146
 8922.8  0.0139
 8927.3  0.0141
 8931.8  0.0149
 8936.3  0.0143
 8940.8  0.0147
 8945.3  0.0143
 8949.8  0.0140
 8954.3  0.0136
 8958.8  0.0140
 8963.3  0.0139
 8967.8  0.0143
 8972.3  0.0143
 8976.8  0.0137
 8981.3  0.0133
 8985.7  0.0132
 8990.2  0.0137
 8994.7  0.0135
 8999.2  0.0132
