filter,vegamag,AB,ST,Apparent (vegamag),Apparent (AB),Apparent (ST),AB mag of Vega,ST mag of Vega,Pivot Wavelength (μm),Filter Reference
Bessell_88_K,3.27,5.09,8.07,-28.3,-26.49,-23.5,1.815,4.802,2.1663,"Bessell & Brett 1988 PASP, 100, 1134"
Bessell_88_L,3.26,5.98,10.0,-28.31,-25.59,-21.58,2.721,6.737,3.4797,"Bessell & Brett 1988 PASP, 100, 1134"
Bessell_88_Lprime,3.26,6.17,10.39,-28.31,-25.4,-21.18,2.914,7.135,3.8247,"Bessell & Brett 1988 PASP, 100, 1134"
Bessell_88_M,3.29,6.64,11.33,-28.28,-24.93,-20.25,3.349,8.034,4.7347,"Bessell & Brett 1988 PASP, 100, 1134"
GALEX_FUV,15.22,17.3,14.54,-16.36,-14.27,-17.03,2.085,-0.676,0.1535,https://universe.gsfc.nasa.gov/archive/galex/Documents/PostLaunchFUVImagingRespo
GALEX_NUV,8.53,10.16,8.28,-23.04,-21.41,-23.3,1.629,-0.253,0.2301,https://universe.gsfc.nasa.gov/archive/galex/Documents/PostLaunchNUVImagingRespo
WISE_1,3.26,5.91,9.87,-28.31,-25.66,-21.7,2.655,6.614,3.3897,Jarrett et al. 2011 ApJ 735 112
WISE_2,3.28,6.57,11.22,-28.29,-25.0,-20.36,3.291,7.932,4.6406,Jarrett et al. 2011 ApJ 735 112
WISE_3,3.26,8.48,15.28,-28.31,-23.09,-16.29,5.215,12.019,12.5705,Jarrett et al. 2011 ApJ 735 112
WISE_4,3.27,9.88,17.93,-28.3,-21.7,-13.65,6.602,14.652,22.3142,Jarrett et al. 2011 ApJ 735 112
IRAS12,3.26,8.3,14.89,-28.31,-23.27,-16.69,5.037,11.621,11.3562,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAS25,3.27,9.92,18.09,-28.3,-21.65,-13.48,6.646,14.819,23.6079,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAS60,3.28,11.9,22.12,-28.29,-19.67,-9.46,8.621,18.833,60.3699,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
